"PARTICIPANT_NAME","TRADE_NAME","RANGE","CERTIFICAT","MODEL_TYPE","SOFTWARE_NAME","SOFTWARE_VERSION","FACTORY_COUNTRY","FACTORY_CITY","MODEL_NAME","SeasonalCooling | Pdesignc","SeasonalCooling | SEER","SeasonalCooling | Effsc","Seasonal Efficiency in Cooling | Pdesignc","Seasonal Efficiency in Cooling | SEER","Seasonal Efficiency in Cooling | Qce","Seasonal Efficiency in Cooling | SEER Class","Heating Average Climate | Pdesignh","Heating Average Climate | SCOP","Heating Average Climate | SCOP Class","Heating Average Climate | Qhe","SeasonalHeating | Pdesignh","SeasonalHeating | SCOP","SeasonalHeating | Effsh","Acoustic | LwO env","Acoustic | LwI1 env","Acoustic | LwI1 duct","Acoustic | LwI2 env","Acoustic | LwO duct","Acoustic | LwI2 duct","Acoustic in heating | LwO env in heating","Acoustic in heating | LwI1 env in heating","Acoustic in heating | LwI2 env in heating","Acoustic in heating | LwO duct in heating","Acoustic in heating | LwI1 duct in heating","Acoustic in heating | LwI duct2 in heating","Standard Cooling/Cooling PL Cond A | Pc","Standard Cooling/Cooling PL Cond A | Pec","Standard Cooling/Cooling PL Cond A | EER","Standard Cooling/Cooling PL Cond A | Ph","Standard Cooling/Cooling PL Cond A | COP","Standard Cooling/Cooling PL Cond A | EER Class","Standard Cooling/Cooling PL Cond A | Peh","Standard Cooling/Cooling PL Cond A | COP Class","Standard Cooling/Cooling PL Cond A | EER Class","Cooling PL CondB | Pc @ 30°C ","Cooling PL CondB | PcB","Cooling PL CondB | EER @ 30°C ","Cooling PL CondB | EERB","Cooling PL CondC | Pc @ 25°C","Cooling PL CondC | PcC","Cooling PL CondC | EER @ 25°C","Cooling PL CondC | EERC","Cooling PL CondD | Pc @ 20°C ","Cooling PL CondD | PcD","Cooling PL CondD | EER @ 20°C ","Cooling PL CondD | EERD","Standard Heating | Ph","Standard Heating | Ph","Standard Heating | Peh","Standard Heating | Peh","Standard Heating | COP","Standard Heating | COP","Heating PL CondA | Ph @ -7°C","Heating PL CondA | PhA","Heating PL CondA | COP @ -7°C","Heating PL CondA | COPA","Heating PL CondB | Ph @ +2°C","Heating PL CondB | PhB","Heating PL CondB | COP @ 2°C","Heating PL CondB | COPB","Heating PL CondC | Ph @ +7°C","Heating PL CondC | PhC","Heating PL CondC | COP @ +7°C","Heating PL CondC | COPC","Heating PL CondD | Ph @ +12°C","Heating PL CondD | PhD","Heating PL CondD | COP @ +12°C","Heating PL CondD | COPD","Bivalent Point | Tbiv","Bivalent Point | COP @ Tbiv","Bivalent Point | Ph TBiv","TOL Runing Test | TOL","TOL Runing Test | Ph_E","TOL Runing Test | COP_E","Heating Colder Climate | SCOP","Heating Colder Climate | SCOP Class_colder climate","Heating Colder Climate | SCOP Class_colder climate","Heating Colder Climate | Qhe","Bivalent Point Colder Climate | Tbiv_c","Bivalent Point Colder Climate | Ph @ Tbiv°C_c","Bivalent Point Colder Climate | COP @ Tbiv_c ","Heating Warmer Climate | SCOP","Heating Warmer Climate | SCOP Class_warmer climate","Heating Warmer Climate | Qhe","Poffc | Poff","Psbc | Psb","Psbc | Psbc","Ptoc | Pto","Pck | Pck","Poffh | Poffh","Psbh | Psbh","Psbh | Psbh","Ptoh | Ptoh","Pckh | Pckh","Cooling | EER @ 30°C ","Cooling | Pc @ 30°C ","Cooling | EER @ 25°C","Cooling | Pc @ 25°C","Cooling | EER @ 20°C ","Cooling | Pc @ 20°C ","Cooling | Pdesignc","Cooling | SEER","Cooling | Qce","PLH Heating Average Climate | COP @ -7°C","PLH Heating Average Climate | Ph @ -7°C","PLH Heating Average Climate | COP @ 2°C","PLH Heating Average Climate | Ph @ +2°C","PLH Heating Average Climate | COP @ +7°C","PLH Heating Average Climate | Ph @ +7°C","PLH Heating Average Climate | COP @ +12°C","PLH Heating Average Climate | Ph @ +12°C","PLH Heating Average Climate | Pdesignh","PLH Heating Average Climate | Qhe","PLH Heating Average Climate | SCOP","Psb, Pto and Poff | Poff","Psb, Pto and Poff | Psb","Psb, Pto and Poff | Pto","LRcontmin Cooling | LRcontminc","LRcontmin Cooling | CcpLRcontminc","LRcontmin Heating | LRcontminh","LRcontmin Heating | CcpLRcontminh","General | Inverter","General | Capacity Control","General | Main Power Supply","General | Refrigerant","General | Refr. Line","General | Mounting","General | No. of IU","General | IU Range Names","General | Initial Refrigerant Charge","Eligible_CEE | Eligible_CEE"
"DAIKIN EUROPE NV","DAIKIN","2MXS","94.01.087","AC1/A/M/R","","","","","2MXS40H / FTXS20K / FTXS20K","","","","4.00","6.61","212.00","A++","3.03","4.12","A+","1029.00","","","","62","58","","58","","","","","","","","","4.00","1.04","3.85","","","","","","","2.95","","6.41","","1.95","","8.86","","1.97","","11.58","","","4.20","","1.01","","4.16","2.68","","2.82","","1.66","","4.49","","1.23","","4.73","","1.52","","5.85","","-7","2.82","2.68","-15.00","2.05","2.27","","","","","","","","","","","10.00","10.00","","42.00","","10.00","10.00","","42.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","variable","230-1-50","R410A","5 m","Wall mounted","","","",""
"DAIKIN EUROPE NV","DAIKIN","3MXS","94.01.087","AC1/A/M/R","","","","","3MXS40K / FTXS20K / FTXS20K","","","","4.00","6.90","203.00","A++","4.75","4.05","A+","1641.00","","","","59","58","","58","","","","","","","","","4.00","0.95","4.21","","","","","","","2.97","","6.60","","2.64","","10.56","","2.57","","11.68","","","4.60","","1.11","","4.14","4.20","","2.27","","2.60","","4.33","","1.69","","5.12","","1.48","","6.17","","-7","2.27","4.20","-15.00","3.20","1.83","","","","","","","","","","","10.00","10.00","","42.00","","10.00","10.00","","42.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","variable","230-1-50","R410A","5 m","Wall mounted","","","",""
"DAIKIN EUROPE NV","DAIKIN","3MXS","94.01.087","AC1/A/M/R","","","","","3MXS52E / FTXS25K / FTXS25K","","","","5.00","6.93","253.00","A++","4.77","4.08","A+","1636.00","","","","59","58","","58","","","","","","","","","5.00","1.45","3.45","","","","","","","3.75","","5.85","","2.64","","10.56","","2.57","","11.68","","","6.50","","1.86","","3.49","4.22","","2.29","","2.62","","4.37","","1.70","","5.15","","1.48","","6.17","","-7","2.29","4.22","-15.00","3.22","1.87","","","","","","","","","","","10.00","10.00","","42.00","","10.00","10.00","","42.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","variable","230-1-50","R410A","5 m","Wall mounted","","","",""
"DAIKIN EUROPE NV","DAIKIN","2MXS","94.01.087","AC1/A/M/R","","","","","2MXS40H / CTXS15K / FTXS25K","","","","4.00","6.47","217.00","A++","3.03","4.11","A+","1032.00","","","","62","55","","58","","","","","","","","","4.00","1.02","3.92","","","","","","","2.97","","6.31","","1.93","","8.77","","1.95","","10.83","","","4.20","","1.02","","4.12","2.68","","2.79","","1.66","","4.49","","1.23","","4.73","","1.51","","5.81","","-7","2.79","2.68","-15.00","2.04","2.26","","","","","","","","","","","10.00","10.00","","42.00","","10.00","10.00","","42.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","variable","230-1-50","R410A","5 m","Wall mounted","","","",""
"DAIKIN EUROPE NV","DAIKIN","4MXS","94.01.087","AC1/A/M/R","","","","","4MXS80E / FTXS42K / FTXS42K","","","","7.40","5.54","468.00","A","4.34","3.82","A","1591.00","","","","62","59","","59","","","","","","","","","7.40","2.88","2.57","","","","","","","5.45","","4.91","","3.62","","7.54","","3.18","","9.09","","","9.55","","2.65","","3.60","3.84","","2.74","","2.37","","4.09","","2.28","","4.75","","2.60","","5.20","","-7","2.74","3.84","-15.00","2.97","2.26","","","","","","","","","","","11.00","11.00","","91.00","","11.00","11.00","","91.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","variable","230-1-50","R410A","5 m","Wall mounted","","","",""
"DAIKIN EUROPE NV","DAIKIN","4MXS","94.01.087","AC1/A/M/R","","","","","4MXS80E / FTXS20K / FTXS60G","","","","7.31","6.03","424.00","A+","4.25","3.85","A","1548.00","","","","62","58","","60","","","","","","","","","7.30","2.47","2.95","","","","","","","5.46","","5.40","","3.47","","8.07","","3.32","","9.49","","","9.27","","2.44","","3.80","3.76","","2.82","","2.37","","4.09","","2.28","","4.75","","2.61","","5.22","","-7","2.82","3.76","-15.00","2.86","2.28","","","","","","","","","","","11.00","11.00","","70.00","","11.00","11.00","","70.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","variable","230-1-50","R410A","5 m","Wall mounted","","","",""
"DAIKIN EUROPE NV","DAIKIN","2MXS","94.01.087","AC1/A/M/R","","","","","2MXS50H / CTXS15K / FTXS35K","","","","5.00","6.43","273.00","A++","4.25","4.09","A+","1454.00","","","","63","55","","59","","","","","","","","","5.00","1.35","3.70","","","","","","","3.69","","5.95","","2.46","","8.79","","1.89","","11.81","","","5.46","","1.33","","4.09","3.76","","2.49","","2.29","","4.40","","1.53","","5.10","","1.41","","5.42","","-7","2.49","3.76","-15.00","2.87","2.02","","","","","","","","","","","11.00","11.00","","67.00","","11.00","11.00","","67.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","variable","230-1-50","R410A","5 m","Wall mounted","","","",""
"DAIKIN EUROPE NV","DAIKIN","2MXS","94.01.087","AC1/A/M/R","","","","","2MXS50H / FTXS25K / FTXS25K","","","","5.00","6.61","265.00","A++","4.19","4.00","A+","1466.00","","","","63","58","","58","","","","","","","","","5.00","1.38","3.62","","","","","","","3.73","","6.01","","2.37","","8.78","","1.90","","11.87","","","5.60","","1.42","","3.94","3.71","","2.39","","2.26","","4.26","","1.52","","5.07","","1.40","","5.39","","-7","2.39","3.71","-15.00","2.83","1.93","","","","","","","","","","","11.00","11.00","","43.00","","11.00","11.00","","43.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","variable","230-1-50","R410A","5 m","Wall mounted","","","",""
"DAIKIN EUROPE NV","DAIKIN","3MXS","94.01.087","AC1/A/M/R","","","","","3MXS52E / CTXS15K / FTXS35K","","","","5.00","6.76","259.00","A++","4.84","4.17","A+","1624.00","","","","59","55","","59","","","","","","","","","5.00","1.45","3.45","","","","","","","3.73","","5.82","","2.64","","10.56","","2.57","","11.68","","","5.42","","1.37","","3.96","4.28","","2.39","","2.66","","4.51","","1.71","","5.18","","1.47","","6.13","","-7","2.39","4.28","-15.00","3.27","1.94","","","","","","","","","","","10.00","10.00","","66.00","","10.00","10.00","","66.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","variable","230-1-50","R410A","5 m","Wall mounted","","","",""
"DAIKIN EUROPE NV","DAIKIN","4MXS","94.01.087","AC1/A/M/R","","","","","4MXS80E / FTXS35K / FTXS42K","","","","7.24","5.53","458.00","A","4.30","3.83","A","1572.00","","","","62","59","","59","","","","","","","","","7.20","2.80","2.57","","","","","","","5.44","","4.90","","3.46","","7.52","","3.17","","9.06","","","9.05","","2.98","","3.04","3.80","","2.79","","2.37","","4.09","","2.28","","4.75","","2.61","","5.22","","-7","2.79","3.80","-15.00","2.92","2.28","","","","","","","","","","","11.00","11.00","","91.00","","11.00","11.00","","91.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","variable","230-1-50","R410A","5 m","Wall mounted","","","",""
"DAIKIN EUROPE NV","DAIKIN","4MXS","94.01.087","AC1/A/M/R","","","","","4MXS68F / CTXS15K / FTXS50K","","","","6.50","4.94","461.00","B","4.20","3.85","A","1526.00","","","","61","55","","60","","","","","","","","","6.50","2.22","2.93","","","","","","","4.84","","5.09","","3.09","","6.72","","2.77","","6.30","","","8.18","","2.58","","3.17","3.72","","2.53","","2.32","","4.00","","1.57","","4.76","","1.86","","5.64","","-7","2.53","3.72","-15.00","2.83","2.05","","","","","","","","","","","11.00","11.00","","67.00","","11.00","11.00","","67.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","variable","230-1-50","R410A","5 m","Wall mounted","","","",""
"DAIKIN EUROPE NV","DAIKIN","4MXS","94.01.087","AC1/A/M/R","","","","","4MXS68F / FTXS20K / FTXS50K","","","","6.80","4.93","483.00","B","4.30","3.83","A","1572.00","","","","61","58","","60","","","","","","","","","6.80","2.41","2.82","","","","","","","5.07","","5.02","","3.22","","6.71","","2.79","","6.34","","","8.60","","2.80","","3.07","3.80","","2.56","","2.32","","4.00","","1.56","","4.59","","1.85","","5.61","","-7","2.56","3.80","-15.00","2.89","2.06","","","","","","","","","","","11.00","11.00","","67.00","","11.00","11.00","","67.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","variable","230-1-50","R410A","5 m","Wall mounted","","","",""
"DAIKIN EUROPE NV","DAIKIN","4MXS","94.01.087","AC1/A/M/R","","","","","4MXS68F / FTXS25K / FTXS42K","","","","6.70","4.96","473.00","B","4.42","3.85","A","1606.00","","","","61","58","","59","","","","","","","","","6.70","2.54","2.64","","","","","","","5.00","","5.10","","3.22","","6.71","","2.80","","6.36","","","8.30","","2.80","","2.96","3.91","","2.55","","2.41","","4.09","","1.54","","4.53","","1.83","","5.55","","-7","2.55","3.91","-15.00","2.98","2.06","","","","","","","","","","","11.00","11.00","","67.00","","11.00","11.00","","67.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","variable","230-1-50","R410A","5 m","Wall mounted","","","",""
"DAIKIN EUROPE NV","DAIKIN","3MXS","94.01.087","AC1/A/M/R","","","","","3MXS68G / CTXS15K / FTXS50K","","","","6.50","4.94","461.00","B","4.20","3.85","A","1526.00","","","","61","55","","60","","","","","","","","","6.50","2.22","2.93","","","","","","","4.84","","5.09","","3.09","","6.72","","2.77","","6.30","","","8.25","","2.63","","3.14","3.72","","2.53","","2.32","","4.00","","1.57","","4.76","","1.86","","5.64","","-7","2.53","3.72","-15.00","2.83","2.05","","","","","","","","","","","11.00","11.00","","67.00","","11.00","11.00","","67.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","variable","230-1-50","R410A","5 m","Wall mounted","","","",""
"DAIKIN EUROPE NV","DAIKIN","3MXS","94.01.087","AC1/A/M/R","","","","","3MXS68G / FTXS20K / FTXS50K","","","","6.80","4.93","483.00","B","4.30","3.83","A","1572.00","","","","61","58","","60","","","","","","","","","6.80","2.41","2.82","","","","","","","5.07","","5.02","","3.22","","6.71","","2.79","","6.34","","","8.60","","2.80","","3.07","3.80","","2.56","","2.32","","4.00","","1.56","","4.59","","1.85","","5.61","","-7","2.56","3.80","-15.00","2.89","2.06","","","","","","","","","","","11.00","11.00","","67.00","","11.00","11.00","","67.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","variable","230-1-50","R410A","5 m","Wall mounted","","","",""
"DAIKIN EUROPE NV","DAIKIN","3MXS","94.01.087","AC1/A/M/R","","","","","3MXS68G / FTXS25K / FTXS42K","","","","6.70","4.96","473.00","B","4.42","3.85","A","1606.00","","","","61","58","","59","","","","","","","","","6.70","2.54","2.64","","","","","","","5.00","","5.10","","3.22","","6.71","","2.80","","6.36","","","8.30","","2.80","","2.96","3.91","","2.55","","2.41","","4.09","","1.54","","4.53","","1.83","","5.55","","-7","2.55","3.91","-15.00","2.98","2.06","","","","","","","","","","","11.00","11.00","","67.00","","11.00","11.00","","67.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","variable","230-1-50","R410A","5 m","Wall mounted","","","",""
"DAIKIN EUROPE NV","DAIKIN","3MXS","94.01.087","AC1/A/M/R","","","","","3MXS68G / FTXS35K / FTXS35K","","","","6.80","4.91","485.00","B","4.77","3.90","A","1712.00","","","","61","59","","59","","","","","","","","","6.80","2.51","2.71","","","","","","","5.01","","5.11","","3.23","","6.73","","2.80","","6.36","","","8.60","","2.93","","2.94","4.22","","2.57","","2.61","","4.14","","1.73","","4.68","","1.78","","5.39","","-7","2.57","4.22","-15.00","3.23","2.09","","","","","","","","","","","11.00","11.00","","91.00","","11.00","11.00","","91.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","variable","230-1-50","R410A","5 m","Wall mounted","","","",""
"DAIKIN EUROPE NV","DAIKIN","5MXS","94.01.087","AC1/A/M/R","","","","","5MXS90E / CTXS15K / FTXS71G","","","","7.63","6.08","439.00","A+","4.53","3.86","A","1643.00","","","","66","55","","63","","","","","","","","","7.60","2.56","2.97","","","","","","","5.71","","4.90","","3.63","","8.07","","3.31","","9.74","","","9.69","","2.83","","3.42","4.01","","2.74","","2.52","","4.13","","2.32","","4.74","","2.65","","5.30","","-7","2.74","4.01","-15.00","3.08","2.24","","","","","","","","","","","11.00","11.00","","70.00","","11.00","11.00","","70.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","variable","230-1-50","R410A","5 m","Wall mounted","","","",""
